x,y
28538,303513
174704,343275
52760,269921
183379,112205
52388,277515
45979,313923
142783,368580
42940,213088
28538,303502
47504,344824
53990,169696
28538,303976
45290,293762
154445,417608
131703,392789
150985,257010
52388,277498
52815,266998
54201,271751
119371,228593
43720,249979
43720,249948
126631,218158
149085,346634
173006,232276
136898,366505
115458,284107
142264,409076
46057,273229
43720,250120
173179,256249
189463,303099
43720,249970
43720,249999
121398,370036
52760,269836
54104,288721
28538,303915
52388,277464
43022,294406
28538,303434
90581,509231
28538,303778
158820,287086
445329,229855
52388,277467
28538,303479
179772,265753
52388,277540
173957,246569
43720,249995
43720,249834
189517,429389
173910,256212
47780,417472
52815,267085
29302,290198
169578,431235
52388,277474
51311,354714
135463,361329
52388,277626
52388,277669
190138,327117
162468,361407
180189,304277
32515,279800
59876,194563
97277,416921
177419,201741
52760,269998
47204,362861
43720,249852
43720,250178
52388,277518
43720,250093
131396,394785
176740,260686
174349,266293
53981,228526
43720,249613
131282,394300
38660,193893
52388,277559
174645,246143
52815,267222
28538,303902
195190,193644
93923,371259
141679,423711
140674,240614
449164,289655
40941,270553
43720,250079
131567,252800
174712,309816
164236,286811
43720,250102
52388,277553
173789,474361
107313,321207
52388,277469
170961,342288
30759,249035
36634,166339
43169,314227
170752,322890
121198,283399
37122,147293
43720,249921
39442,288359
43720,249919
52388,277541
131760,392593
147859,251443
142501,358386
144345,252883
52179,227235
52388,277508
129340,312640
138282,236499
161062,349553
148626,98866
52815,267255
47550,266716
210161,261009
52388,277672
131974,395038
28538,303586
183872,389405
43720,249602
48834,226350
52388,277486
29456,295956
165778,283552
46709,249074
52815,267096
445329,229855
140756,422693
176968,341109
28538,303831
158273,290002
142379,310066
149609,347043
52388,277589
42423,232053
103709,385366
52388,277471
52388,277628
52388,277631
105065,299868
122459,369745
28538,303873
54201,271722
152806,383906
52760,269944
28538,303888
52388,277647
132262,276830
144259,386579
141018,339946
131197,394234
43720,249809
43720,249850
28538,303588
157507,388193
152769,315502
172888,172968
50415,268166
28538,303774
45569,229386
28538,303857
41328,193504
28538,303756
28538,303585
46894,275867
143840,359399
170183,251119
37804,179602
52760,269879
187113,262176
171177,190805
68860,337512
52388,277543
52388,277489
28538,303593
116178,168542
335634,369499
155946,337954
43720,249842
52760,269852
47697,243840
142414,422916
43720,250078
52388,277576
52388,277489
52388,277517
52760,269891
43720,249929
52388,277524
134155,311035
459824,325078
442985,229236
182107,384489
141592,353825
176730,275887
43720,249839
129380,190228
157965,355109
131538,394005
43720,249850
161099,265134
302878,330937
52760,269835
52388,277604
42203,260433
28538,303748
150307,300353
52301,268375
53778,296230
46827,269506
52388,277465
28538,303464
52760,269965
143102,423451
161521,331840
41486,224354
56397,180321
171456,333405
52388,277484
55732,262480
167192,206534
154337,197972
28538,303899
52388,277619
174158,190654
114871,288073
30935,254074
43720,250084
28538,304314
43720,249968
170360,288519
177960,314822
174437,394817
136700,360993
448387,268713
168049,213815
119607,224931
132847,379258
166548,314109
142867,413382
48032,265565
105948,257730
54201,271698
43720,249876
151641,349180
136378,227908
52760,269923
178336,280909
52388,277594
52388,277561
43720,250103
39349,216063
169256,159972
30487,245968
52388,277478
168646,409042
46319,324221
158182,383803
158018,255104
59133,201020
103830,369700
28538,303670
30578,308781
145329,412897
172926,331851
147905,314395
103753,186069
98254,375468
122083,281613
129380,210260
163858,298772
52388,277532
155395,349448
45807,316086
141644,399844
46152,349744
47746,276030
175617,255458
41553,215866
28538,303799
175217,260657
52388,277468
182643,446198
111048,282099
28538,303762
175098,244341
41647,260993
169509,371100
29823,189994
42712,303091
142684,426382
121326,255776
101430,298032
54201,271846
40559,192713
147495,335402
43952,290709
114480,316292
172727,355005
125029,150466
43720,249826
44552,339609
52388,277612
150162,280131
28538,303731
111093,319637
121348,368513
434694,411081
445329,229855
445329,229855
142183,409300
28538,303660
42614,278154
182253,191233
28538,303941
159234,387682
449378,319696
54201,271798
52388,277519
143572,270132
58588,316384
30972,241018
